Date,nPeople
2021-11-29 13:04:00,1
2021-11-29 13:09:00,1
2021-11-29 13:17:00,2
2021-11-29 13:21:00,3
2021-11-29 13:24:00,3
2021-11-29 13:26:00,4
2021-11-29 13:38:00,6
2021-11-29 14:00:00,7
2021-11-29 14:01:00,8
2021-11-29 14:02:00,8
2021-11-29 14:12:00,8
2021-11-29 14:31:00,9
2021-11-29 14:33:00,10
2021-11-29 14:35:00,11
2021-11-29 14:38:00,12
2021-11-29 14:44:00,14
2021-11-29 14:45:00,17
2021-11-29 14:48:00,19
2021-11-29 14:50:00,22
2021-11-29 14:51:00,27
2021-11-29 14:52:00,29
2021-11-29 14:53:00,32
2021-11-29 14:54:00,33
2021-11-29 14:55:00,34
2021-11-29 14:56:00,39
2021-11-29 14:57:00,47
2021-11-29 14:58:00,50
2021-11-29 14:59:00,59
2021-11-29 15:00:00,65
2021-11-29 15:01:00,72
2021-11-29 15:02:00,75
2021-11-29 15:03:00,82
2021-11-29 15:04:00,85
2021-11-29 15:05:00,88
2021-11-29 15:06:00,91
2021-11-29 15:07:00,91
2021-11-29 15:08:00,93
2021-11-29 15:09:00,94
2021-11-29 15:10:00,95
2021-11-29 15:11:00,97
2021-11-29 15:12:00,97
2021-11-29 15:13:00,99
2021-11-29 15:16:00,100
2021-11-29 15:17:00,102
2021-11-29 15:18:00,105
2021-11-29 15:19:00,107
2021-11-29 15:20:00,111
2021-11-29 15:21:00,113
2021-11-29 15:22:00,115
2021-11-29 15:23:00,115
2021-11-29 15:29:00,117
2021-11-29 15:30:00,119
2021-11-29 15:31:00,120
2021-11-29 15:32:00,121
2021-11-29 15:34:00,122
2021-11-29 15:37:00,123
2021-11-29 15:39:00,125
2021-11-29 15:40:00,126
2021-11-29 15:41:00,127
2021-11-29 15:42:00,129
2021-11-29 15:44:00,132
2021-11-29 15:45:00,133
2021-11-29 15:46:00,134
2021-11-29 15:47:00,135
2021-11-29 15:48:00,137
2021-11-29 15:49:00,139
2021-11-29 15:50:00,139
2021-11-29 15:51:00,142
2021-11-29 15:52:00,143
2021-11-29 15:53:00,143
2021-11-29 15:55:00,144
2021-11-29 15:56:00,144
2021-11-29 15:58:00,147
2021-11-29 16:00:00,149
2021-11-29 16:03:00,149
2021-11-29 16:04:00,149
2021-11-29 16:06:00,150
2021-11-29 16:07:00,151
2021-11-29 16:09:00,151
2021-11-29 16:10:00,152
2021-11-29 16:11:00,154
2021-11-29 16:12:00,156
2021-11-29 16:13:00,157
2021-11-29 16:14:00,157
2021-11-29 16:15:00,158
2021-11-29 16:16:00,160
2021-11-29 16:17:00,160
2021-11-29 16:20:00,162
2021-11-29 16:21:00,163
2021-11-29 16:22:00,164
2021-11-29 16:23:00,165
2021-11-29 16:24:00,166
2021-11-29 16:25:00,167
2021-11-29 16:26:00,169
2021-11-29 16:27:00,169
2021-11-29 16:28:00,171
2021-11-29 16:29:00,172
2021-11-29 16:30:00,174
2021-11-29 16:31:00,176
2021-11-29 16:32:00,176
2021-11-29 16:33:00,176
2021-11-29 16:35:00,177
2021-11-29 16:36:00,179
2021-11-29 16:38:00,179
2021-11-29 16:39:00,180
2021-11-29 16:40:00,184
2021-11-29 16:42:00,185
2021-11-29 16:43:00,185
2021-11-29 16:45:00,187
2021-11-29 16:46:00,188
2021-11-29 16:47:00,188
2021-11-29 16:48:00,190
2021-11-29 16:49:00,191
2021-11-29 16:54:00,192
2021-11-29 16:55:00,193
2021-11-29 16:56:00,194
2021-11-29 16:57:00,195
2021-11-29 16:58:00,195
2021-11-29 17:00:00,196
2021-11-29 17:02:00,197
2021-11-29 17:03:00,199
2021-11-29 17:06:00,199
2021-11-29 17:07:00,201
2021-11-29 17:08:00,204
2021-11-29 17:09:00,204
2021-11-29 17:10:00,204
2021-11-29 17:11:00,206
2021-11-29 17:12:00,206
2021-11-29 17:13:00,207
2021-11-29 17:14:00,209
2021-11-29 17:15:00,211
2021-11-29 17:16:00,211
2021-11-29 17:17:00,213
2021-11-29 17:18:00,218
2021-11-29 17:19:00,221
2021-11-29 17:20:00,222
2021-11-29 17:21:00,226
2021-11-29 17:22:00,227
2021-11-29 17:23:00,230
2021-11-29 17:24:00,232
2021-11-29 17:25:00,233
2021-11-29 17:26:00,234
2021-11-29 17:27:00,235
2021-11-29 17:28:00,236
2021-11-29 17:29:00,237
2021-11-29 17:30:00,237
2021-11-29 17:31:00,238
2021-11-29 17:32:00,239
2021-11-29 17:33:00,239
2021-11-29 17:34:00,241
2021-11-29 17:35:00,242
2021-11-29 17:36:00,242
2021-11-29 17:37:00,244
2021-11-29 17:38:00,245
2021-11-29 17:39:00,245
2021-11-29 17:40:00,247
2021-11-29 17:41:00,249
