Date,nPeople
2021-11-29 13:21:00,1
2021-11-29 13:24:00,2
2021-11-29 14:52:00,2
2021-11-29 15:19:00,3
2021-11-29 15:23:00,2
2021-11-29 15:29:00,3
2021-11-29 15:31:00,2
2021-11-29 15:32:00,3
2021-11-29 15:33:00,2
2021-11-29 15:50:00,3
2021-11-29 15:51:00,2
2021-11-29 16:28:00,3
2021-11-29 16:29:00,2
2021-11-29 16:40:00,2
2021-11-29 17:00:00,3
2021-11-29 17:01:00,2
2021-11-29 17:06:00,3
2021-11-29 17:07:00,7
2021-11-29 17:08:00,8
2021-11-29 17:09:00,9
2021-11-29 17:12:00,10
2021-11-29 17:13:00,12
2021-11-29 17:14:00,18
2021-11-29 17:15:00,22
2021-11-29 17:16:00,23
2021-11-29 17:17:00,26
2021-11-29 17:18:00,27
2021-11-29 17:19:00,28
2021-11-29 17:20:00,31
2021-11-29 17:21:00,32
2021-11-29 17:22:00,33
2021-11-29 17:23:00,36
2021-11-29 17:24:00,38
2021-11-29 17:25:00,39
2021-11-29 17:26:00,38
2021-11-29 17:27:00,39
2021-11-29 17:28:00,42
2021-11-29 17:29:00,43
2021-11-29 17:31:00,44
2021-11-29 17:34:00,46
2021-11-29 17:35:00,45
2021-11-29 17:38:00,45
2021-11-29 17:39:00,47
2021-11-29 17:40:00,48
2021-11-29 17:41:00,48
2021-11-29 17:42:00,49
2021-11-29 17:43:00,49
2021-11-29 17:44:00,50
2021-11-29 17:46:00,51
2021-11-29 17:48:00,51
2021-11-29 17:52:00,52
2021-11-29 17:53:00,51
2021-11-29 17:55:00,52
2021-11-29 17:56:00,52
2021-11-29 17:58:00,54
2021-11-29 17:59:00,54
2021-11-29 18:00:00,53
2021-11-29 18:01:00,54
2021-11-29 18:02:00,56
2021-11-29 18:03:00,55
2021-11-29 18:04:00,57
2021-11-29 18:05:00,58
2021-11-29 18:06:00,58
2021-11-29 18:07:00,57
2021-11-29 18:08:00,56
2021-11-29 18:09:00,56
2021-11-29 18:10:00,57
2021-11-29 18:11:00,58
2021-11-29 18:17:00,59
2021-11-29 18:19:00,59
2021-11-29 18:20:00,58
2021-11-29 18:21:00,57
2021-11-29 18:23:00,58
2021-11-29 18:25:00,57
2021-11-29 18:28:00,55
2021-11-29 18:30:00,55
2021-11-29 18:32:00,54
2021-11-29 18:37:00,55
2021-11-29 18:38:00,54
2021-11-29 18:39:00,55
2021-11-29 18:40:00,56
2021-11-29 18:41:00,55
